patient	MB-0395	MB-4716	MB-5408	MB-3371	MB-2953	MB-2513	MB-3706	MB-2616	MB-3363	MB-7250	MB-4836	MB-2643	MB-6346
category	diespre60	aliveafter72	aliveafter72	aliveafter72	diespre60	diespre60	diespre60	aliveafter72	diespre60	diespre60	diespre60	diespre60	aliveafter72
LARS	8.486394843	8.853979909	8.502976409	9.185273213	9.200138694	8.379359826	8.658215119	8.760486595	9.341257377	8.12018432	8.30433116	8.6041104	8.723103566
PEX11B	9.139987635	9.600966646	9.349879563	10.68362873	10.13944217	9.827900408	9.676052271	10.19472244	9.110779778	9.507845215	8.804149543	9.208430972	9.657905394
OR51B5	5.387653186	5.428804479	5.259434464	5.456250335	5.253460237	5.285439392	5.316563036	5.45510879	5.26258297	5.456560146	5.439411167	5.273843632	5.527791127
TWSG1	8.011279663	7.867533117	8.525136773	8.451288101	8.718444793	8.822421732	8.77687302	9.27362025	8.091860589	7.438962312	7.259564011	8.681548362	8.468899663
AK128215	5.284888591	5.25729216	5.299181547	5.26490056	5.358330067	5.417166528	5.352400257	5.246000926	5.191964387	5.330217772	5.08829678	5.165867066	5.266068296
FLT4	5.535323736	5.314081186	5.275635648	5.335720037	5.451256712	5.520451611	5.394992628	5.230178513	5.542562291	5.445247919	5.554845159	5.401736623	5.392168199
PHTF2	5.401311018	5.426345686	5.429922583	5.813832568	5.570230417	5.597141102	5.38770199	5.395455549	5.5967562	5.540004729	5.307954732	5.817220151	5.569673721
SPDEF	10.12885881	10.17501774	9.092956208	10.99689691	9.513049626	10.72920961	5.432551574	8.788182491	7.382525355	9.840296285	10.84758267	5.556076958	11.23472323
IL1F5	5.201721063	5.210698839	5.179750548	5.155815038	5.244170589	5.269844836	5.244812598	5.292521818	5.141596811	5.115203645	5.136251743	5.355269545	5.028066609
BX117846	5.394933076	5.37955026	5.512580077	5.483622681	5.016241103	5.358830322	5.557565939	5.174743708	5.332001684	5.464363668	5.415194228	5.284766309	5.289523134
WHAMML2	5.848088076	5.629491721	5.43015501	5.545518794	5.39930905	5.86810383	5.237434267	5.348687888	5.397453428	5.461149817	5.272055059	5.326588572	5.442480849
